ID,predicted,Gene.symbol
216469_at,0.0,LOC102725136///LOC441666
243692_at,0.0,GATA4
229598_at,0.0,COBLL1
203027_s_at,0.0,MVD
207443_at,0.0,NR2E1
237539_at,0.0,
233942_at,0.0,CYP51A1-AS1
229657_at,0.0,THRB
1556996_at,0.0,LEPROT
206940_s_at,0.0,POU4F1
1553253_at,0.0,ASB16
231050_at,0.0,HRASLS5
241032_at,0.0,ANKRD40
201694_s_at,0.0,EGR1
220559_at,0.0,EN1
207647_at,0.0,CDY1
1569674_at,0.0,LINC00630
243577_at,0.0,
220294_at,0.0,KCNV1
221076_at,0.0,PELO
241293_x_at,0.0,
233247_x_at,0.0,ZDHHC21
1562431_x_at,0.0,
1569835_at,0.0,LOC339352
1562501_at,0.0,LOC255177
1557534_at,0.0,LOC339862
243782_at,0.0,
243327_at,0.0,
241698_at,0.0,RFTN2
1560725_at,0.0,IL12A-AS1
239156_at,0.0,
203447_at,0.0,PSMD5
1562665_at,0.0,
1561704_at,0.0,LOC101927829
234904_x_at,0.0,ELAVL4
1563452_at,0.0,AVL9
1553193_at,0.0,ZNF441
234117_at,0.0,NPSR1-AS1
231578_at,0.0,GBP1
1566441_at,0.0,
229627_at,0.0,CCDC180///LOC100499484-C9ORF174
240994_at,0.0,
228596_at,0.0,ARHGEF5
1567374_at,0.0,
237637_at,0.0,
1555942_a_at,0.0,MIR205
1557832_at,0.0,LOC101926960
1562873_at,0.0,LOC101928818///PWRN1
242925_at,0.0,RNF148
1555230_a_at,0.0,KCNIP2
203844_at,0.0,VHL
227272_at,0.0,C15orf52
240153_at,0.0,ILDR2
240416_at,0.0,
1563465_at,0.0,PKD1L1
1569617_at,0.0,OSBP2
241678_at,0.0,
1553077_at,0.0,SDR9C7
229438_at,0.0,FAM20C
237828_at,0.0,SRRM4
1564718_at,0.0,
214219_x_at,0.0,MAP4K1
221558_s_at,0.0,LEF1
223865_at,0.0,SOX6
237489_at,0.0,NLRP2
211298_s_at,0.0,ALB
226755_at,0.0,MIR205HG
1555719_a_at,0.0,MAATS1
233877_at,0.0,
215233_at,0.0,JMJD6
214928_at,0.0,OBSL1
202628_s_at,0.0,SERPINE1
243554_at,0.0,
1568878_at,0.0,
237614_at,0.0,PHACTR2-AS1
203331_s_at,0.0,INPP5D
1554362_at,0.0,BTG4
244009_at,0.0,
215199_at,0.0,CALD1
229448_at,0.0,CERS1///GDF1
1569755_at,0.0,LINC00276
1570030_at,0.0,ZNF396
206952_at,0.0,G6PC
224231_at,0.0,PRO0471
232731_x_at,0.0,RAMP2-AS1
205081_at,0.0,CRIP1
234433_at,0.0,LOC105373460
207703_at,0.0,NLGN4Y
241645_at,0.0,
233755_at,0.0,
209555_s_at,0.0,CD36
241942_at,0.0,PXDNL
219857_at,0.0,PLEKHS1
229224_x_at,0.0,LOC643085
236890_at,0.0,MTG2
236705_at,0.0,TMEM196
1553485_at,0.0,CCDC140
210931_at,0.0,RNF6
237805_at,0.0,LOC729296
240569_at,2.0,
1554375_a_at,2.0,NR1H4
215851_at,0.0,MECOM
234457_at,0.0,HCG8///ZNRD1ASP
215405_at,0.0,
237566_at,0.0,
1568844_at,0.0,LOC101929528
223932_at,0.0,
215393_s_at,0.0,COBLL1
240685_at,0.0,LINC01095
242596_at,0.0,
1556259_at,0.0,CADM1
241673_x_at,0.0,
1565559_at,0.0,MAGIX
1564767_at,0.0,
1562112_at,0.0,
1554723_x_at,0.0,
237732_at,0.0,PRR9
231211_s_at,0.0,YIF1B
201693_s_at,0.0,EGR1
1569644_at,0.0,
233034_at,0.0,
1561553_at,0.0,LOC101929147
1569578_at,0.0,
220025_at,0.0,TBR1
243869_at,0.0,
210324_at,0.0,C8G
241061_at,0.0,
236153_at,0.0,
242122_at,0.0,
231996_at,0.0,N4BP2
228489_at,0.0,TM4SF18
210226_at,0.0,NR4A1
219936_s_at,0.0,GPR87
221213_s_at,0.0,LOC145783///ZNF280D
228426_at,0.0,CLEC2D
242344_at,0.0,GABRB2
236806_at,0.0,
236234_at,0.0,PDE1A
1554231_a_at,0.0,ZNF396
1557636_a_at,0.0,C7orf57
1562028_at,0.0,CCND3
234325_at,0.0,M1AP
228146_at,0.0,C17orf51
232334_at,0.0,NXPH2
206463_s_at,0.0,DHRS2
207926_at,0.0,GP5
231330_at,0.0,LINC00445
213339_at,0.0,TP73-AS1
1561581_at,0.0,
238047_at,0.0,ARHGAP36
215375_x_at,0.0,LRRFIP1
243871_at,0.0,LOC100130476
206496_at,0.0,FMO3
1562341_at,0.0,LOC101927587///LOC101927560
239573_at,0.0,
240640_at,0.0,
206380_s_at,0.0,CFP
1555766_a_at,0.0,GNG2
232390_at,0.0,NCAM2
204698_at,0.0,ISG20
240711_at,0.0,
1556417_a_at,0.0,
235916_at,0.0,YPEL4
1559203_s_at,0.0,KRAS
222911_s_at,0.0,CXorf36
215496_at,0.0,SAMD4A
211924_s_at,0.0,PLAUR
203665_at,0.0,HMOX1
206691_s_at,0.0,PDIA2
204560_at,0.0,FKBP5
214420_s_at,0.0,CYP2C9
243204_at,0.0,LOC102725022
1555131_a_at,0.0,PER3
207496_at,0.0,MS4A2
207932_at,0.0,IFNA8
207854_at,0.0,GYPE
211447_s_at,0.0,PDE4A
220660_at,0.0,LINC00474
216842_x_at,0.0,
1559029_at,0.0,LOC286154
1553776_at,0.0,UBE2U
242179_s_at,0.0,TSPAN16
223648_s_at,0.0,FGFRL1
233371_at,0.0,ABCC13
240718_at,0.0,LRMP
1562389_at,0.0,LOC101927359
244601_at,0.0,
1559992_a_at,0.0,LINC00645
228618_at,0.0,PEAR1
204953_at,0.0,SNAP91
1560772_a_at,0.0,
219386_s_at,0.0,SLAMF8
1561614_at,0.0,SLC8A1
219776_s_at,0.0,
233151_s_at,0.0,TTTY7B///TTTY7
232862_at,0.0,ABHD5
1561288_at,0.0,LINC00536
221350_at,0.0,HOXC8
221285_at,0.0,ST8SIA2
241674_s_at,0.0,
239431_at,0.0,TMED7-TICAM2///TICAM2
1563149_at,0.0,
1566816_at,0.0,FGF22
237644_at,0.0,
239941_at,0.0,
1561232_at,0.0,CASC11
208422_at,0.0,MSR1
229635_at,0.0,LINC01094
204999_s_at,0.0,ATF5
1569675_at,0.0,POU2AF1
1559213_at,0.0,LINC01419
1555179_at,0.0,IGHV7-81
240425_x_at,0.0,ROBO2
241264_at,0.0,
233353_at,0.0,FER1L5
213415_at,0.0,CLIC2
1560395_at,0.0,
237253_at,0.0,IGSF11-AS1
239759_at,0.0,
225894_at,0.0,SYNPO2
1560771_at,0.0,
208402_at,0.0,IL17A
1569810_at,0.0,
1561633_at,0.0,HMGA2
244719_at,0.0,
241190_at,0.0,
1556761_at,0.0,
233615_at,0.0,CGA
1561622_at,0.0,LOC101928314
244384_at,0.0,
1553311_at,0.0,C20orf197
216359_at,0.0,MUC7
1569573_at,0.0,
229249_at,0.0,
1570121_at,0.0,ZNF365
205817_at,0.0,SIX1
224017_at,0.0,TBX22
234301_s_at,0.0,TFB1M
232507_at,0.0,C15orf41
207031_at,0.0,NKX3-2
231884_at,0.0,CNTROB
243789_at,0.0,
1559668_s_at,0.0,
202340_x_at,0.0,NR4A1
1557848_at,0.0,LOC101929084
222299_x_at,0.0,
1555928_at,0.0,
1562683_a_at,0.0,LINC01097
1570414_x_at,0.0,KLF3-AS1
209664_x_at,0.0,NFATC1
210551_s_at,0.0,ASMT
243778_at,0.0,
244539_at,0.0,
1564950_at,0.0,
1561539_at,0.0,LOC100506368
207383_s_at,0.0,RHBDL1
1556697_at,0.0,GPRIN3
221690_s_at,0.0,NLRP2
1559470_at,0.0,D21S2088E
1570244_at,0.0,
234426_x_at,0.0,PIH2
219134_at,0.0,ADGRL4
1405_i_at,0.0,CCL5
226646_at,0.0,KLF2
1562066_at,0.0,TRIQK
1555464_at,0.0,IFIH1
220824_at,0.0,
214111_at,0.0,OPCML
243443_at,0.0,PPME1
231173_at,0.0,PYROXD1
241034_at,0.0,GLS
1564130_x_at,0.0,
206700_s_at,0.0,KDM5D
233727_at,0.0,
1559258_a_at,0.0,CT83
205398_s_at,0.0,SMAD3
1566544_at,0.0,PPP5D1
1560628_at,0.0,LOC105369167
1556354_s_at,0.0,RGL3
243113_at,0.0,
242033_at,0.0,RNF180
1554897_s_at,0.0,RHBDL2
236853_at,0.0,TEX29
215625_at,0.0,LOC101928669///LOC644450
231859_at,0.0,C14orf132
243670_at,0.0,
232918_at,0.0,MIR4435-2HG
1569809_at,0.0,
216558_x_at,0.0,IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHD///IGHA1
215682_at,0.0,LOC440792
237972_at,0.0,
1553722_s_at,0.0,RNF152
210910_s_at,0.0,POMZP3
215516_at,0.0,LAMB4
243854_at,0.0,
239570_at,0.0,RAB1A
244482_at,0.0,
220392_at,0.0,EBF2
1561863_a_at,0.0,
230366_at,0.0,LINC01431
1561490_at,0.0,NPSR1-AS1
244348_at,0.0,
234031_at,0.0,NOL4L
221384_at,0.0,UCP1
217438_at,0.0,
1557430_at,0.0,SMIM17
1553550_at,0.0,VN1R5
203508_at,0.0,TNFRSF1B
241975_at,0.0,MIR100HG
1562694_at,0.0,IGF2BP2-AS1
237521_x_at,0.0,
1561281_a_at,0.0,LEMD1-AS1
225645_at,0.0,EHF
1555711_x_at,0.0,
222971_at,0.0,NDUFA2
224012_at,0.0,ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1
210033_s_at,0.0,SPAG6
234640_x_at,0.0,
223579_s_at,0.0,APOB
211690_at,0.0,RPS6
211329_x_at,0.0,HFE
241042_at,0.0,
207344_at,0.0,AKAP3
1559509_at,0.0,
1566748_at,0.0,
243732_at,0.0,
216298_at,0.0,TARP
214013_s_at,0.0,TBC1D1
241664_x_at,0.0,
237495_at,0.0,MPP7
1559737_at,0.0,
243191_at,0.0,
1561997_at,0.0,TRIM64EP
1563882_a_at,0.0,RAPGEF5
1559879_a_at,0.0,
1554232_a_at,0.0,
244815_at,0.0,
216953_s_at,0.0,WT1
241539_at,0.0,
215709_at,0.0,PRIM2B///PRIM2
211632_at,0.0,IGHM///IGHG1///IGHD
